2022-08-21 00:52:54.810 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: Simple, bean: grpcServerService, class: com.localserver.mysql.service.impl.GrpcServerService
2022-08-21 00:52:54.810 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: grpc.health.v1.Health, bean: grpcHealthService, class: io.grpc.services.HealthServiceImpl
2022-08-21 00:52:54.810 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: grpc.reflection.v1alpha.ServerReflection, bean: protoReflectionService, class: io.grpc.protobuf.services.ProtoReflectionService
2022-08-21 00:52:55.356 [main] INFO  n.d.b.g.server.serverfactory.GrpcServerLifecycle - gRPC Server started, listening on address: *, port: 50051
2022-08-21 00:52:55.377 [main] INFO  com.localserver.LocalServerApplication - Started LocalServerApplication in 6.801 seconds (JVM running for 7.762)
2022-08-21 00:52:55.754 [RMI TCP Connection(7)-192.168.0.102] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-21 00:52:55.754 [RMI TCP Connection(7)-192.168.0.102] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-08-21 00:52:55.755 [RMI TCP Connection(7)-192.168.0.102] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-08-21 00:52:55.766 [RMI TCP Connection(6)-192.168.0.102] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-08-21 00:52:56.200 [RMI TCP Connection(6)-192.168.0.102] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-08-21 00:52:56.252 [RMI TCP Connection(6)-192.168.0.102] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2022-08-21 00:52:56.646 [RMI TCP Connection(6)-192.168.0.102] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2022-08-21 00:56:42.363 [main] INFO  com.localserver.LocalServerApplication - Starting LocalServerApplication using Java 13.0.1 on LAPTOP-M74D00VF with PID 21616 (C:\Users\86182\Desktop\coding\projects\java\SpringBoot-grpc\local-server\target\classes started by 86182 in C:\Users\86182\Desktop\coding\projects\java\SpringBoot-grpc)
2022-08-21 00:56:42.365 [main] INFO  com.localserver.LocalServerApplication - The following profiles are active: dev
2022-08-21 00:56:43.621 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-08-21 00:56:43.623 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-08-21 00:56:43.668 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 0 Redis repository interfaces.
2022-08-21 00:56:44.249 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2022-08-21 00:56:44.258 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2022-08-21 00:56:44.258 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-08-21 00:56:44.258 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2022-08-21 00:56:44.425 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-08-21 00:56:44.425 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2021 ms
2022-08-21 00:56:44.539 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Filter webStatFilter was not registered (possibly already registered?)
2022-08-21 00:56:44.542 [main] INFO  o.s.boot.web.servlet.RegistrationBean - Servlet statViewServlet was not registered (possibly already registered?)
2022-08-21 00:56:44.607 [main] INFO  ru.yandex.clickhouse.ClickHouseDriver - Driver registered
